panel frames: 8

frame     row       |                   current rule |                 tightened rule
19:03:12  盾兵        |               447-575 c=0.7097 |               471-554 c=0.7118
19:03:12  矛兵        |               384-575 c=0.6660 |               384-575 c=0.6660
19:03:12  射手        |               384-575 c=0.6660 |               384-575 c=0.6660
19:03:12  科技研究      |               384-575 c=0.6660 |               384-575 c=0.6660
19:10:52  盾兵        |               447-477 c=0.6417 |                           none
19:10:52  矛兵        |               384-497 c=0.6118 |               384-425 c=0.5618
19:10:52  射手        |               386-570 c=0.6639 |               384-425 c=0.5618
19:10:52  科技研究      |               384-425 c=0.5618 |               384-425 c=0.5618
19:31:04  盾兵        |               384-477 c=0.5979 |               384-425 c=0.5618
19:31:04  矛兵        |               384-498 c=0.6125 |               384-425 c=0.5618
19:31:04  射手        |               386-574 c=0.6667 |               384-425 c=0.5618
19:31:04  科技研究      |               401-494 c=0.6215 |               384-425 c=0.5618
19:32:04  盾兵        |               384-477 c=0.5979 |               384-425 c=0.5618
19:32:04  矛兵        |               384-498 c=0.6125 |               384-425 c=0.5618
19:32:04  射手        |               386-574 c=0.6667 |               384-425 c=0.5618
19:32:04  科技研究      |               401-494 c=0.6215 |               384-425 c=0.5618
19:32:04  盾兵        |               384-477 c=0.5979 |               384-425 c=0.5618
19:32:04  矛兵        |               384-498 c=0.6125 |               384-425 c=0.5618
19:32:04  射手        |               386-574 c=0.6667 |               384-425 c=0.5618
19:32:04  科技研究      |               401-494 c=0.6215 |               384-425 c=0.5618
19:32:34  盾兵        |               384-477 c=0.5979 |               384-425 c=0.5618
19:32:34  矛兵        |               384-498 c=0.6125 |               384-425 c=0.5618
19:32:34  射手        |               386-574 c=0.6667 |               384-425 c=0.5618
19:32:34  科技研究      |               401-494 c=0.6215 |               384-425 c=0.5618
19:36:06  盾兵        |               384-575 c=0.6660 |               384-575 c=0.6660
19:36:06  矛兵        |               384-575 c=0.6660 |               384-575 c=0.6660
19:36:06  射手        |               384-575 c=0.6660 |               384-575 c=0.6660
19:36:06  科技研究      |               384-575 c=0.6660 |               384-575 c=0.6660
19:36:24  盾兵        |               384-575 c=0.6660 |               384-575 c=0.6660
19:36:24  矛兵        |               384-575 c=0.6660 |               384-575 c=0.6660
19:36:24  射手        |               384-575 c=0.6660 |               384-575 c=0.6660
19:36:24  科技研究      |               384-575 c=0.6660 |               384-575 c=0.6660

current    n= 32 centre x  min 0.5618  max 0.7097  mean 0.6409  spread 0.1479
tightened  n= 31 centre x  min 0.5618  max 0.7118  mean 0.6036  spread 0.1500
