panel frames: 8  (GAP=12px, MIN_GROUP=20px)

frame     row       |       current min..max |        widest merged group
19:03:12  盾兵        |       447-575 c=0.7097 |           448-575 c=0.7104
19:03:12  矛兵        |       384-575 c=0.6660 |           531-575 c=0.7681
19:03:12  射手        |       384-575 c=0.6660 |           384-425 c=0.5618
19:03:12  科技研究      |       384-575 c=0.6660 |           446-575 c=0.7090
19:10:52  盾兵        |       447-477 c=0.6417 |           447-477 c=0.6417
19:10:52  矛兵        |       384-497 c=0.6118 |           384-425 c=0.5618
19:10:52  射手        |       386-570 c=0.6639 |           384-425 c=0.5618
19:10:52  科技研究      |       384-425 c=0.5618 |           384-425 c=0.5618
19:31:04  盾兵        |       384-477 c=0.5979 |           384-425 c=0.5618
19:31:04  矛兵        |       384-498 c=0.6125 |           384-425 c=0.5618
19:31:04  射手        |       386-574 c=0.6667 |           384-425 c=0.5618
19:31:04  科技研究      |       401-494 c=0.6215 |           384-425 c=0.5618
19:32:04  盾兵        |       384-477 c=0.5979 |           384-425 c=0.5618
19:32:04  矛兵        |       384-498 c=0.6125 |           384-425 c=0.5618
19:32:04  射手        |       386-574 c=0.6667 |           384-425 c=0.5618
19:32:04  科技研究      |       401-494 c=0.6215 |           384-425 c=0.5618
19:32:04  盾兵        |       384-477 c=0.5979 |           384-425 c=0.5618
19:32:04  矛兵        |       384-498 c=0.6125 |           384-425 c=0.5618
19:32:04  射手        |       386-574 c=0.6667 |           384-425 c=0.5618
19:32:04  科技研究      |       401-494 c=0.6215 |           384-425 c=0.5618
19:32:34  盾兵        |       384-477 c=0.5979 |           384-425 c=0.5618
19:32:34  矛兵        |       384-498 c=0.6125 |           384-425 c=0.5618
19:32:34  射手        |       386-574 c=0.6667 |           384-425 c=0.5618
19:32:34  科技研究      |       401-494 c=0.6215 |           384-425 c=0.5618
19:36:06  盾兵        |       384-575 c=0.6660 |           448-549 c=0.6924
19:36:06  矛兵        |       384-575 c=0.6660 |           473-575 c=0.7278
19:36:06  射手        |       384-575 c=0.6660 |           518-575 c=0.7590
19:36:06  科技研究      |       384-575 c=0.6660 |           448-575 c=0.7104
19:36:24  盾兵        |       384-575 c=0.6660 |           447-549 c=0.6917
19:36:24  矛兵        |       384-575 c=0.6660 |           473-575 c=0.7278
19:36:24  射手        |       384-575 c=0.6660 |           482-575 c=0.7340
19:36:24  科技研究      |       384-575 c=0.6660 |           447-575 c=0.7097

current        n= 32  min 0.5618  max 0.7097  mean 0.6409  spread 0.1479
merged-group   n= 32  min 0.5618  max 0.7681  mean 0.6193  spread 0.2063
