==========================================================================================
02_after_scroll_1.png
   y=0.2559 (   328px)  x=0.311 conf=0.992  '02:22:07'
   y=0.2898 (   371px)  x=0.112 conf=0.898  'X科技研究'
   y=0.3211 (   411px)  x=0.311 conf=0.999  '科技研究'
   y=0.3445 (   441px)  x=0.311 conf=0.998  '空闲中'
   y=0.3785 (   484px)  x=0.138 conf=0.996  '联盟捐献'
   y=0.4090 (   524px)  x=0.311 conf=0.997  '联盟捐献'
   y=0.4320 (   553px)  x=0.312 conf=0.993  '可捐献25/25'
   y=0.4648 (   595px)  x=0.110 conf=0.930  '酱英雄招募'
   y=0.4965 (   636px)  x=0.312 conf=0.998  '高级招募'
   y=0.5211 (   667px)  x=0.312 conf=0.998  '免费招募'
   y=0.5539 (   709px)  x=0.312 conf=0.998  '史诗招募'
   y=0.5766 (   738px)  x=0.312 conf=0.940  '1天01:51:18'
   y=0.6113 (   782px)  x=0.137 conf=0.998  '我的奖励'
   y=0.6422 (   822px)  x=0.312 conf=0.997  '仓库补给'
   y=0.6660 (   852px)  x=0.312 conf=0.996  '已完成'
